year,id_,wrkstat,age,major,sex,realinc
2022,3096,2,20,nonstem,2,13292.5
2022,2576,2,20,nonstem,2,22495
2022,522,1,23,stem,2,9713.75
2022,228,1,23,stem,2,49080
2022,1080,1,23,nonstem,2,13292.5
2022,139,1,23,nonstem,2,18405
2022,419,1,24,stem,2,135195.9643
2022,156,1,24,nonstem,2,49080
2022,1446,1,24,nonstem,2,27607.5
2022,2601,1,25,nonstem,2,15337.5
2022,571,1,25,stem,1,33742.5
2022,12,2,25,nonstem,2,13292.5
2022,3302,1,25,nonstem,2,18405
2022,1043,1,25,nonstem,1,27607.5
2022,1957,1,26,stem,2,18405
2022,2107,1,26,nonstem,2,18405
2022,3296,1,26,nonstem,1,22495
2022,342,1,26,stem,1,7668.75
2022,3512,1,27,stem,1,18405
2022,1814,2,27,stem,1,40900
2022,2008,1,27,stem,2,18405
2022,243,1,28,nonstem,2,18405
2022,1959,1,28,nonstem,2,40900
2022,600,1,28,stem,1,11247.5
2022,2506,1,28,stem,2,18405
2022,99,1,28,nonstem,1,15337.5
2022,1351,1,28,nonstem,2,49080
2022,2803,1,28,nonstem,2,22495
2022,203,1,29,stem,2,27607.5
2022,265,1,29,stem,2,49080
2022,201,1,29,stem,1,49080
2022,2879,2,29,stem,2,13292.5
2022,150,1,29,nonstem,1,135195.9643
2022,3542,1,29,nonstem,2,27607.5
2022,3385,1,29,nonstem,2,27607.5
2022,1864,1,30,stem,1,27607.5
2022,1700,1,30,stem,2,18405
2022,2646,1,30,stem,1,13292.5
2022,3490,2,30,stem,2,27607.5
2022,197,1,30,nonstem,2,135195.9643
2022,1648,1,31,nonstem,1,40900
2022,557,1,31,stem,2,22495
2022,2794,1,31,stem,1,57260
2022,3488,1,31,nonstem,1,40900
2022,2172,1,31,nonstem,2,49080
2022,229,1,31,nonstem,2,33742.5
2022,985,1,31,nonstem,1,49080
2022,2769,1,31,nonstem,1,40900
2022,222,1,31,nonstem,2,18405
2022,78,1,31,nonstem,2,15337.5
2022,2992,1,32,stem,1,4601.25
2022,294,1,32,nonstem,1,135195.9643
2022,1380,1,32,stem,1,11247.5
2022,519,1,32,stem,2,135195.9643
2022,2986,1,32,nonstem,1,49080
2022,1108,2,32,nonstem,2,27607.5
2022,1129,1,32,stem,2,49080
2022,2314,2,32,nonstem,2,27607.5
2022,3543,1,32,nonstem,1,57260
2022,1406,2,32,stem,1,18405
2022,827,2,32,nonstem,2,40900
2022,730,1,32,stem,1,40900
2022,1198,1,33,nonstem,2,40900
2022,1454,1,33,nonstem,1,15337.5
2022,3345,1,33,nonstem,2,27607.5
2022,2814,1,33,nonstem,1,33742.5
2022,102,1,34,stem,2,27607.5
2022,877,1,34,stem,1,57260
2022,172,1,34,nonstem,1,49080
2022,1954,2,34,nonstem,2,33742.5
2022,2358,1,34,stem,2,13292.5
2022,512,1,34,nonstem,2,57260
2022,3189,1,35,stem,1,22495
2022,3112,1,35,nonstem,2,40900
2022,885,1,35,nonstem,2,33742.5
2022,2650,1,35,nonstem,1,57260
2022,1273,2,35,stem,2,13292.5
2022,766,1,35,stem,1,33742.5
2022,211,1,35,nonstem,1,40900
2022,2933,1,35,stem,1,65440
2022,2025,1,35,stem,1,65440
2022,1514,1,35,nonstem,2,15337.5
2022,1104,1,36,nonstem,1,40900
2022,314,1,36,nonstem,1,135195.9643
2022,1381,1,36,stem,1,22495
2022,962,1,36,stem,2,135195.9643
2022,2539,1,36,nonstem,1,18405
2022,507,1,36,nonstem,1,135195.9643
2022,1989,2,36,stem,2,49080
2022,3203,2,36,nonstem,2,135195.9643
2022,29,1,36,nonstem,1,22495
2022,2467,1,37,nonstem,1,49080
2022,788,1,37,nonstem,1,135195.9643
2022,1950,1,37,stem,1,11247.5
2022,1569,1,37,nonstem,2,135195.9643
2022,1882,1,38,nonstem,1,135195.9643
2022,951,1,38,nonstem,1,27607.5
2022,3437,1,38,nonstem,2,13292.5
2022,2355,1,38,nonstem,1,65440
2022,2224,1,38,nonstem,2,18405
2022,2564,1,38,nonstem,2,40900
2022,1918,1,38,nonstem,2,135195.9643
2022,654,2,38,nonstem,2,65440
2022,3229,1,38,nonstem,2,27607.5
2022,234,1,39,nonstem,2,135195.9643
2022,949,1,39,nonstem,2,2249.5
2022,1875,1,39,stem,1,40900
2022,1806,1,39,stem,2,33742.5
2022,653,1,39,nonstem,2,49080
2022,831,1,39,nonstem,2,40900
2022,676,1,40,nonstem,2,135195.9643
2022,2628,1,40,stem,1,15337.5
2022,114,1,40,stem,1,49080
2022,3200,2,40,stem,2,40900
2022,166,1,40,stem,2,135195.9643
2022,2811,1,40,nonstem,2,135195.9643
2022,3469,1,40,nonstem,2,8691.25
2022,1321,1,41,nonstem,1,40900
2022,842,1,41,stem,1,57260
2022,2804,1,41,nonstem,1,33742.5
2022,1940,1,42,nonstem,1,33742.5
2022,633,1,42,nonstem,2,40900
2022,791,1,42,stem,2,49080
2022,3363,2,42,stem,2,135195.9643
2022,1332,1,42,nonstem,2,18405
2022,2652,1,43,nonstem,1,49080
2022,2030,1,43,stem,1,22495
2022,2384,2,43,nonstem,2,135195.9643
2022,1000,1,43,nonstem,2,33742.5
2022,2916,1,43,nonstem,1,65440
2022,2642,1,43,stem,1,135195.9643
2022,1134,2,43,nonstem,2,49080
2022,577,1,43,stem,2,18405
2022,53,1,43,nonstem,2,135195.9643
2022,3139,1,43,stem,1,40900
2022,740,1,43,nonstem,2,33742.5
2022,1072,1,43,stem,1,57260
2022,767,1,44,stem,1,49080
2022,1095,1,44,stem,1,65440
2022,922,1,44,stem,2,57260
2022,2282,1,44,stem,1,22495
2022,1632,1,44,nonstem,2,33742.5
2022,1643,1,45,nonstem,1,40900
2022,434,1,45,nonstem,2,33742.5
2022,3211,1,45,stem,1,135195.9643
2022,3292,1,45,nonstem,2,49080
2022,1505,1,45,stem,2,135195.9643
2022,2027,2,45,nonstem,1,49080
2022,3129,2,45,nonstem,2,22495
2022,95,2,46,nonstem,1,18405
2022,3124,1,46,nonstem,2,15337.5
2022,612,2,46,nonstem,2,135195.9643
2022,690,1,46,stem,2,11247.5
2022,2977,1,47,nonstem,2,135195.9643
2022,8,1,47,nonstem,1,135195.9643
2022,3020,1,48,nonstem,1,27607.5
2022,2019,1,48,nonstem,2,33742.5
2022,2658,1,48,stem,1,135195.9643
2022,113,1,48,nonstem,1,65440
2022,2429,1,48,stem,2,7668.75
2022,3291,1,48,nonstem,1,27607.5
2022,2742,2,49,nonstem,2,27607.5
2022,531,1,49,nonstem,2,57260
2022,190,1,49,stem,1,135195.9643
2022,3026,1,49,nonstem,2,135195.9643
2022,1152,1,50,nonstem,1,49080
2022,955,1,50,stem,2,135195.9643
2022,1774,1,50,nonstem,1,135195.9643
2022,2032,1,51,stem,1,135195.9643
2022,3104,1,52,nonstem,2,65440
2022,2651,1,52,nonstem,2,57260
2022,568,1,52,stem,1,135195.9643
2022,1914,1,53,nonstem,1,33742.5
2022,1249,1,53,nonstem,1,40900
2022,2468,1,53,stem,2,40900
2022,3507,1,53,stem,1,135195.9643
2022,2160,1,53,stem,2,135195.9643
2022,518,2,53,nonstem,1,40900
2022,204,1,53,nonstem,1,135195.9643
2022,2364,1,53,nonstem,2,22495
2022,2034,1,54,nonstem,2,40900
2022,640,1,54,stem,1,135195.9643
2022,539,1,54,nonstem,1,135195.9643
2022,1711,1,54,stem,2,135195.9643
2022,1576,1,54,stem,2,135195.9643
2022,1667,1,55,nonstem,2,135195.9643
2022,699,1,55,stem,1,135195.9643
2022,1046,1,55,nonstem,1,49080
2022,2018,1,55,nonstem,1,13292.5
2022,462,1,56,nonstem,2,22495
2022,2988,2,56,stem,2,135195.9643
2022,615,1,56,nonstem,2,57260
2022,2128,1,57,nonstem,1,57260
2022,277,1,57,stem,1,135195.9643
2022,965,2,57,nonstem,2,27607.5
2022,711,1,57,stem,1,135195.9643
2022,3244,1,57,stem,1,135195.9643
2022,2572,1,58,nonstem,2,40900
2022,2961,1,58,nonstem,2,15337.5
2022,1343,2,58,stem,1,135195.9643
2022,873,1,58,nonstem,2,135195.9643
2022,2643,1,58,stem,2,27607.5
2022,2088,1,58,stem,2,33742.5
2022,3111,1,58,nonstem,1,27607.5
2022,51,1,59,stem,2,135195.9643
2022,2292,1,59,nonstem,1,135195.9643
2022,2763,2,59,nonstem,1,22495
2022,245,2,59,nonstem,1,11247.5
2022,2459,1,59,stem,2,33742.5
2022,586,1,59,stem,2,135195.9643
2022,851,1,59,stem,2,49080
2022,736,1,60,nonstem,1,40900
2022,2570,1,60,nonstem,2,40900
2022,840,1,60,stem,1,135195.9643
2022,24,1,60,nonstem,2,33742.5
2022,1709,2,60,nonstem,1,6646.25
2022,750,1,61,stem,2,135195.9643
2022,1870,1,61,stem,2,65440
2022,1932,1,61,nonstem,2,22495
2022,1507,1,61,nonstem,1,13292.5
2022,2215,1,62,nonstem,2,22495
2022,506,1,62,stem,2,40900
2022,772,1,62,nonstem,2,18405
2022,358,1,62,stem,2,40900
2022,472,2,62,nonstem,2,57260
2022,177,1,63,nonstem,2,18405
2022,104,1,63,nonstem,1,27607.5
2022,797,1,64,nonstem,1,135195.9643
2022,3102,1,64,stem,2,49080
2022,2247,1,64,nonstem,2,9713.75
2022,3241,1,65,nonstem,2,18405
2022,1955,1,65,nonstem,2,135195.9643
2022,2263,2,65,nonstem,2,22495
2022,379,1,66,stem,1,135195.9643
2022,272,2,66,nonstem,2,135195.9643
2022,2131,1,66,stem,1,27607.5
2022,292,1,67,nonstem,2,135195.9643
2022,159,1,68,nonstem,1,40900
2022,271,2,69,stem,1,22495
2022,377,2,70,nonstem,1,135195.9643
2022,2921,1,70,nonstem,2,27607.5
2022,500,2,71,nonstem,2,13292.5
2022,795,2,71,nonstem,2,33742.5
2022,1881,1,74,nonstem,1,57260
2022,2522,2,77,nonstem,2,40900
2022,1759,2,77,nonstem,1,135195.9643
2022,1492,2,79,nonstem,1,135195.9643
2022,2104,1,83,nonstem,2,15337.5
